DI,TradeValue,RealmType,Enclave,LivingQuarters,ParcelSize,ParcelSizeUnit,StructuralIntegrity,ExteriorCharm,Downpayment,LoanAmount,MonthlyPayment,AffordableDwelling
0,269500.0,Meadowlands,Brightforge,2143.0,7939.0,sqft,5,Common,53900.0,215600.0,1029.3073770235185,0
1,184900.0,Meadowlands,Brightforge,923.0,10083.0,sqft,5,Gleaming,36980.0,147920.0,706.1927050524993,1
2,87000.0,GnomeBurough,Petalbridge,959.0,9439.0,sqft,5,Common,17400.0,69600.0,332.28104564395585,1
3,130000.0,Meadowlands,Shadowmere,798.0,3869.0,sqft,6,Gleaming,26000.0,104000.0,496.5119072840719,1
4,144000.0,Meadowlands,Dragonspire,1172.0,11344.0,sqft,5,Common,28800.0,115200.0,549.9824203762028,1
5,174500.0,Meadowlands,Thornfield,1203.0,12000.0,sqft,7,Common,34900.0,139600.0,666.4717524697736,1
6,264500.0,AetherIsles,Wyverncliff,1412.0,8125.0,sqft,5,Gleaming,52900.0,211600.0,1010.2107652049003,0
7,218689.0,Meadowlands,Ravenstone,1239.0,12018.0,sqft,5,Gleaming,43737.8,174951.2,835.2437884003571,0
8,89000.0,GnomeBurough,Starfall,729.0,1680.0,sqft,5,Common,17800.0,71200.0,339.9196903714031,1
9,286000.0,Meadowlands,Riverbend,664.0,4923.0,sqft,5,Gleaming,57200.0,228800.0,1092.3261960249586,0
10,219000.0,Meadowlands,Emberfall,1743.0,12888.0,sqft,8,Common,43800.0,175200.0,836.4315976554751,0
11,193000.0,Meadowlands,Sunspire,1046.0,9627.0,sqft,5,Gleaming,38600.0,154400.0,737.1292161986607,1
12,270.0,Meadowlands,Riverbend,2066.0,0.13108,sqft,5,Gleaming,54.0,216.0,1.0312170382053802,1
13,180000.0,AetherIsles,Wyverncliff,1163.0,2998.0,sqft,5,Gleaming,36000.0,144000.0,687.4780254702536,1
14,319900.0,Meadowlands,Silverglen,1347.0,7658.0,sqft,5,Enchanting,63980.0,255920.0,1221.8012241551894,0
15,177594.0,Meadowlands,Duskwood,1119.0,7713.0,sqft,5,Gleaming,35518.8,142075.2,678.2887358631344,1
16,67500.0,Meadowlands,Brightforge,778.0,9800.0,sqft,5,Common,13500.0,54000.0,257.80425955134507,1
17,226750.0,Meadowlands,Duskwood,1455.0,8220.0,sqft,5,Gleaming,45350.0,181400.0,866.0313459743332,0
18,79275.0,Meadowlands,Shadowmere,664.0,8172.0,sqft,5,Common,15855.0,63420.0,302.7767803841908,1
19,115000.0,GnomeBurough,Stormwatch,1033.0,6240.0,sqft,4,Common,23000.0,92000.0,439.2220718282175,1
20,172000.0,Meadowlands,Dragonspire,1022.0,14267.0,sqft,6,Common,34400.0,137600.0,656.9234465604644,1
21,138800.0,Meadowlands,Dragonspire,843.0,15870.0,sqft,5,Common,27760.0,111040.0,530.1219440848399,1
22,123900.0,GnomeBurough,Stormwatch,799.0,6240.0,sqft,7,Common,24780.0,99120.0,473.21404086535784,1
23,552000.0,Meadowlands,Silverglen,1916.0,14836.0,sqft,5,Enchanting,110400.0,441600.0,2108.2659447754436,0
24,125000.0,GnomeBurough,Petalbridge,923.0,11340.0,sqft,5,Common,25000.0,100000.0,477.4152954654538,1
25,245350.0,Meadowlands,Sunspire,1303.0,10475.0,sqft,5,Gleaming,49070.0,196280.0,937.0707419395928,0
26,124900.0,GnomeBurough,Petalbridge,1437.0,8820.0,sqft,6,Common,24980.0,99920.0,477.03336322908143,1
27,103200.0,GnomeBurough,Petalbridge,678.0,5500.0,sqft,6,Common,20640.0,82560.0,394.15406793627875,1
28,109900.0,Meadowlands,Dragonspire,799.0,7200.0,sqft,5,Common,21980.0,87920.0,419.74352777322696,1
29,125500.0,GnomeBurough,Mystvale,887.0,5436.0,sqft,8,Common,25100.0,100400.0,479.3249566473156,1
30,140000.0,Meadowlands,Shadowmere,933.0,9170.0,sqft,7,Common,28000.0,112000.0,534.7051309213083,1
31,500000.0,Meadowlands,Silverglen,664.0,14300.0,sqft,5,Enchanting,100000.0,400000.0,1909.6611818618153,0
32,186500.0,Meadowlands,Duskwood,664.0,10261.0,sqft,5,Common,37300.0,149200.0,712.3036208344572,1
33,228000.0,Meadowlands,Sunspire,1224.0,11927.0,sqft,5,Gleaming,45600.0,182400.0,870.8054989289877,0
34,200000.0,GnomeBurough,Petalbridge,1741.0,7755.0,sqft,8,Common,40000.0,160000.0,763.8644727447262,0
35,135960.0,Meadowlands,Dragonspire,725.0,7032.0,sqft,5,Common,27192.0,108768.0,519.2750685718648,1
36,128000.0,Meadowlands,Cloudrest,736.0,4928.0,sqft,5,Common,25600.0,102400.0,488.87326255662475,1
37,85000.0,GnomeBurough,Petalbridge,786.0,7200.0,sqft,4,Common,17000.0,68000.0,324.64240091650856,1
38,151500.0,Meadowlands,Dragonspire,959.0,10800.0,sqft,7,Common,30300.0,121200.0,578.62733810413,1
39,157500.0,Meadowlands,Dragonspire,750.0,9360.0,sqft,7,Common,31500.0,126000.0,601.5432722864717,1
40,269500.0,Meadowlands,Ravenstone,1513.0,12003.0,sqft,5,Gleaming,53900.0,215600.0,1029.3073770235185,0
41,255500.0,Meadowlands,Silverglen,1320.0,11146.0,sqft,5,Gleaming,51100.0,204400.0,975.8368639313876,0
42,225000.0,Meadowlands,Shadowmere,1544.0,7800.0,sqft,8,Common,45000.0,180000.0,859.3475318378167,0
43,200500.0,Meadowlands,Windwhisper,2373.0,18030.0,sqft,6,Common,40100.0,160400.0,765.774133926588,0
44,125500.0,GnomeBurough,Starfall,1049.0,2160.0,sqft,6,Common,25100.0,100400.0,479.3249566473156,1
45,76000.0,Meadowlands,Brightforge,664.0,9000.0,sqft,3,Common,15200.0,60800.0,290.26849964299595,1
46,175000.0,Meadowlands,Duskwood,1112.0,21872.0,sqft,5,Common,35000.0,140000.0,668.3814136516354,1
47,183850.0,Meadowlands,Shadowmere,3919.0,39290.0,sqft,5,Enchanting,36770.0,147080.0,702.1824165705895,1
48,181900.0,Meadowlands,Nighthaven,969.0,10825.0,sqft,7,Gleaming,36380.0,145520.0,694.7347379613285,1
49,224243.0,Meadowlands,Brightforge,1115.0,7328.0,sqft,5,Gleaming,44848.600000000006,179394.4,856.4563048084782,0
50,112000.0,Meadowlands,Shadowmere,738.0,8926.0,sqft,3,Common,22400.0,89600.0,427.76410473704664,1
51,134900.0,Meadowlands,Sunspire,703.0,6950.0,sqft,7,Common,26980.0,107920.0,515.2265868663177,1
52,119000.0,Meadowlands,Dragonspire,1196.0,8512.0,sqft,5,Common,23800.0,95200.0,454.4993612831121,1
53,91000.0,GnomeBurough,Mystvale,828.0,9786.0,sqft,4,Common,18200.0,72800.0,347.55833509885036,1
