DI,TradeValue,RealmType,Enclave,LivingQuarters,ParcelSize,ParcelSizeUnit,StructuralIntegrity,ExteriorCharm,Craftsmanship,EraConstructed,NeedsRestoration
0,269500.0,Meadowlands,Brightforge,2143.0,7939.0,sqft,5,Common,7,1711,False
1,184900.0,Meadowlands,Brightforge,923.0,10083.0,sqft,5,Gleaming,7,1603,False
2,87000.0,GnomeBurough,Petalbridge,959.0,9439.0,sqft,5,Common,5,1054,True
3,130000.0,Meadowlands,Shadowmere,798.0,3869.0,sqft,6,Gleaming,5,1559,False
4,144000.0,Meadowlands,Dragonspire,1172.0,11344.0,sqft,5,Common,5,1363,False
5,174500.0,Meadowlands,Thornfield,1203.0,12000.0,sqft,7,Common,7,1152,False
6,264500.0,AetherIsles,Wyverncliff,1412.0,8125.0,sqft,5,Gleaming,8,1672,False
7,218689.0,Meadowlands,Ravenstone,1239.0,12018.0,sqft,5,Gleaming,7,1658,False
8,89000.0,GnomeBurough,Starfall,729.0,1680.0,sqft,5,Common,6,1284,True
9,286000.0,Meadowlands,Riverbend,664.0,4923.0,sqft,5,Gleaming,8,1798,False
10,219000.0,Meadowlands,Emberfall,1743.0,12888.0,sqft,8,Common,7,1173,False
11,193000.0,Meadowlands,Sunspire,1046.0,9627.0,sqft,5,Gleaming,7,1698,False
12,270.0,Meadowlands,Riverbend,2066.0,0.13108,sqft,5,Gleaming,8,1470,False
13,180000.0,AetherIsles,Wyverncliff,1163.0,2998.0,sqft,5,Gleaming,6,1624,False
14,319900.0,Meadowlands,Silverglen,1347.0,7658.0,sqft,5,Enchanting,9,1784,False
15,177594.0,Meadowlands,Duskwood,1119.0,7713.0,sqft,5,Gleaming,7,1647,False
16,67500.0,Meadowlands,Brightforge,778.0,9800.0,sqft,5,Common,5,1199,True
17,226750.0,Meadowlands,Duskwood,1455.0,8220.0,sqft,5,Gleaming,7,1609,False
18,79275.0,Meadowlands,Shadowmere,664.0,8172.0,sqft,5,Common,4,1338,False
19,115000.0,GnomeBurough,Stormwatch,1033.0,6240.0,sqft,4,Common,5,1145,True
20,172000.0,Meadowlands,Dragonspire,1022.0,14267.0,sqft,6,Common,6,1229,True
21,138800.0,Meadowlands,Dragonspire,843.0,15870.0,sqft,5,Common,5,1251,True
22,123900.0,GnomeBurough,Stormwatch,799.0,6240.0,sqft,7,Common,5,1090,False
23,552000.0,Meadowlands,Silverglen,1916.0,14836.0,sqft,5,Enchanting,10,1721,False
24,125000.0,GnomeBurough,Petalbridge,923.0,11340.0,sqft,5,Common,6,1120,True
25,245350.0,Meadowlands,Sunspire,1303.0,10475.0,sqft,5,Gleaming,8,1732,False
26,124900.0,GnomeBurough,Petalbridge,1437.0,8820.0,sqft,6,Common,5,990,True
27,103200.0,GnomeBurough,Petalbridge,678.0,5500.0,sqft,6,Common,4,1336,False
28,109900.0,Meadowlands,Dragonspire,799.0,7200.0,sqft,5,Common,4,1323,False
29,125500.0,GnomeBurough,Mystvale,887.0,5436.0,sqft,8,Common,4,1103,False
30,140000.0,Meadowlands,Shadowmere,933.0,9170.0,sqft,7,Common,5,1357,False
31,500000.0,Meadowlands,Silverglen,664.0,14300.0,sqft,5,Enchanting,9,1795,False
32,186500.0,Meadowlands,Duskwood,664.0,10261.0,sqft,5,Common,6,1608,False
33,228000.0,Meadowlands,Sunspire,1224.0,11927.0,sqft,5,Gleaming,8,1574,False
34,200000.0,GnomeBurough,Petalbridge,1741.0,7755.0,sqft,8,Common,6,1191,False
35,135960.0,Meadowlands,Dragonspire,725.0,7032.0,sqft,5,Common,5,1519,False
36,128000.0,Meadowlands,Cloudrest,736.0,4928.0,sqft,5,Common,6,1468,False
37,85000.0,GnomeBurough,Petalbridge,786.0,7200.0,sqft,4,Common,5,1131,True
38,151500.0,Meadowlands,Dragonspire,959.0,10800.0,sqft,7,Common,5,1287,False
39,157500.0,Meadowlands,Dragonspire,750.0,9360.0,sqft,7,Common,6,1356,False
40,269500.0,Meadowlands,Ravenstone,1513.0,12003.0,sqft,5,Gleaming,8,1771,False
41,255500.0,Meadowlands,Silverglen,1320.0,11146.0,sqft,5,Gleaming,8,1797,False
42,225000.0,Meadowlands,Shadowmere,1544.0,7800.0,sqft,8,Common,5,1082,False
43,200500.0,Meadowlands,Windwhisper,2373.0,18030.0,sqft,6,Common,5,1163,True
44,125500.0,GnomeBurough,Starfall,1049.0,2160.0,sqft,6,Common,5,1239,True
45,76000.0,Meadowlands,Brightforge,664.0,9000.0,sqft,3,Common,6,1051,True
46,175000.0,Meadowlands,Duskwood,1112.0,21872.0,sqft,5,Common,7,1522,False
47,183850.0,Meadowlands,Shadowmere,3919.0,39290.0,sqft,5,Enchanting,10,1696,False
48,181900.0,Meadowlands,Nighthaven,969.0,10825.0,sqft,7,Gleaming,7,1491,False
49,224243.0,Meadowlands,Brightforge,1115.0,7328.0,sqft,5,Gleaming,7,1706,False
50,112000.0,Meadowlands,Shadowmere,738.0,8926.0,sqft,3,Common,4,1337,False
51,134900.0,Meadowlands,Sunspire,703.0,6950.0,sqft,7,Common,5,1505,False
52,119000.0,Meadowlands,Dragonspire,1196.0,8512.0,sqft,5,Common,5,1312,False
53,91000.0,GnomeBurough,Mystvale,828.0,9786.0,sqft,4,Common,3,1047,True
54,139000.0,GnomeBurough,Petalbridge,1104.0,10836.0,sqft,5,Common,5,1046,True
55,73000.0,GnomeBurough,Petalbridge,587.0,5232.0,sqft,5,Common,5,1113,True
56,89900.0,GnomeBurough,Petalbridge,668.0,10122.0,sqft,6,Common,4,1118,True
57,133500.0,Meadowlands,Dragonspire,773.0,11050.0,sqft,5,Common,5,1306,False
58,234250.0,Meadowlands,Silverglen,1032.0,6240.0,sqft,5,Gleaming,8,1789,False
59,122000.0,GnomeBurough,Petalbridge,1813.0,5250.0,sqft,5,Common,8,919,True
60,155000.0,GnomeBurough,Petalbridge,1618.0,6300.0,sqft,6,Common,7,1012,True
61,170000.0,AetherIsles,Wyverncliff,1079.0,2160.0,sqft,5,Gleaming,7,1503,False
62,173000.0,Meadowlands,Brightforge,1261.0,8366.0,sqft,5,Gleaming,6,1709,False
63,189000.0,Meadowlands,Brightforge,1419.0,11218.0,sqft,5,Gleaming,6,1439,False
64,139000.0,GnomeBurough,Petalbridge,1204.0,6000.0,sqft,7,Common,5,1139,False
65,141500.0,Meadowlands,Dragonspire,687.0,7436.0,sqft,7,Common,4,1214,False
66,201000.0,Meadowlands,Brightforge,1323.0,8462.0,sqft,5,Gleaming,6,1428,False
67,87000.0,GnomeBurough,Stormwatch,696.0,4882.0,sqft,7,Common,4,1068,False
68,165400.0,Meadowlands,Shadowmere,1273.0,6931.0,sqft,5,Gleaming,7,1757,False
69,405000.0,Meadowlands,Glimmerwood,2196.0,9233.0,sqft,5,Gleaming,9,1729,False
70,213000.0,Meadowlands,Sunspire,1253.0,9750.0,sqft,5,Gleaming,7,1734,False
71,113000.0,Meadowlands,Crystalhollow,759.0,21750.0,sqft,5,Common,5,1383,False
72,235128.0,AetherIsles,Wyverncliff,664.0,11932.0,sqft,5,Gleaming,8,1621,False
73,154000.0,Meadowlands,Dragonspire,958.0,7500.0,sqft,7,Common,5,1337,False
74,250000.0,Meadowlands,Nighthaven,2141.0,16692.0,sqft,5,Common,7,1473,False
75,154000.0,Meadowlands,Shadowmere,1250.0,10512.0,sqft,6,Common,6,1369,False
76,207000.0,Meadowlands,Silverglen,1044.0,8198.0,sqft,5,Gleaming,7,1698,False
