DI,StructuralIntegrity,ExteriorCharm
0,5,Common
1,5,Gleaming
2,5,Common
3,6,Gleaming
4,5,Common
5,7,Common
6,5,Gleaming
7,5,Gleaming
8,5,Common
9,5,Gleaming
10,8,Common
11,5,Gleaming
12,5,Gleaming
13,5,Gleaming
14,5,Enchanting
15,5,Gleaming
16,5,Common
17,5,Gleaming
18,5,Common
19,4,Common
20,6,Common
21,5,Common
22,7,Common
23,5,Enchanting
24,5,Common
25,5,Gleaming
26,6,Common
27,6,Common
28,5,Common
29,8,Common
30,7,Common
31,5,Enchanting
32,5,Common
33,5,Gleaming
34,8,Common
35,5,Common
36,5,Common
37,4,Common
38,7,Common
39,7,Common
40,5,Gleaming
41,5,Gleaming
42,8,Common
43,6,Common
44,6,Common
45,3,Common
46,5,Common
47,5,Enchanting
48,7,Gleaming
49,5,Gleaming
50,3,Common
51,7,Common
52,5,Common
53,4,Common
54,5,Common
55,5,Common
56,6,Common
57,5,Common
58,5,Gleaming
59,5,Common
60,6,Common
61,5,Gleaming
62,5,Gleaming
63,5,Gleaming
63,5,Gleaming
64,7,Common
65,7,Common
66,5,Gleaming
67,7,Common
68,5,Gleaming
69,5,Gleaming
70,5,Gleaming
71,5,Common
72,5,Gleaming
73,7,Common
74,5,Common
75,6,Common
76,5,Gleaming
77,5,Gleaming
78,3,Common
79,6,Common
80,5,Gleaming
81,5,Common
82,7,Common
83,8,Gleaming
84,6,Common
85,5,Gleaming
86,5,Gleaming
87,5,Common
88,3,Gleaming
89,5,Common
90,5,Common
91,6,Gleaming
92,5,Gleaming
93,8,Gleaming
94,6,Common
95,6,Common
96,3,Gleaming
97,7,Common
98,6,Common
99,5,Common
100,5,Gleaming
101,5,Gleaming
102,5,Enchanting
103,4,Common
104,5,Gleaming
105,5,Common
106,5,Gleaming
107,5,Gleaming
108,5,Gleaming
109,5,Gleaming
110,5,Common
111,5,Common
112,5,Common
113,7,Common
114,6,Common
115,5,Common
116,6,Gleaming
117,3,Common
118,5,Common
119,5,Common
120,7,Common
121,5,Gleaming
122,6,Common
123,4,Common
124,4,Common
125,7,Gleaming
126,5,Gleaming
127,6,Gleaming
128,7,Common
129,5,Gleaming
130,5,Gleaming
131,5,Common
132,6,Common
133,5,Common
134,5,Gleaming
135,6,Common
136,5,Gleaming
137,8,Common
138,5,Common
139,5,Common
140,5,Enchanting
141,7,Common
142,5,Gleaming
143,7,Common
144,5,Common
145,7,Common
146,5,Common
147,5,Gleaming
148,3,Common
149,5,Gleaming
150,5,Gleaming
150,5,Gleaming
151,5,Gleaming
152,5,Gleaming
152,5,Gleaming
153,5,Enchanting
154,6,Gleaming
155,6,Common
156,5,Common
157,5,Common
158,6,Common
159,5,Gleaming
160,5,Common
161,5,Common
162,5,Common
163,5,Gleaming
164,5,Gleaming
165,5,Gleaming
166,5,Common
167,8,Common
168,5,Enchanting
169,5,Gleaming
170,5,Enchanting
171,5,Common
172,5,Gleaming
173,7,Gleaming
174,5,Gleaming
175,4,Common
176,6,Gleaming
177,7,Common
178,5,Modest
179,5,Gleaming
180,5,Gleaming
181,7,Common
182,6,Gleaming
183,4,Common
184,4,Common
185,7,Common
186,5,Enchanting
187,8,Common
188,7,Common
189,5,Common
190,5,Gleaming
191,5,Gleaming
192,8,Common
193,6,Common
194,5,Common
195,3,Common
196,5,Gleaming
197,4,Gleaming
198,5,Common
199,6,Common
200,5,Common
201,5,Enchanting
202,5,Gleaming
203,7,Common
204,8,Common
205,7,Common
206,5,Gleaming
207,5,Common
208,6,Common
209,5,Gleaming
210,5,Gleaming
211,5,Gleaming
212,7,Common
213,9,Common
213,9,Common
214,5,Gleaming
215,5,Common
216,5,Common
217,6,Common
218,7,Common
219,5,Gleaming
220,5,Common
221,5,Gleaming
222,5,Gleaming
223,5,Common
224,5,Common
225,6,Common
226,5,Gleaming
227,7,Common
228,6,Common
229,5,Common
230,5,Common
231,5,Gleaming
232,5,Gleaming
233,5,Gleaming
234,5,Gleaming
235,2,Common
236,6,Common
237,7,Common
238,5,Common
239,6,Common
240,6,Common
241,7,Common
242,6,Common
243,5,Gleaming
244,5,Gleaming
245,7,Common
246,5,Gleaming
247,5,Common
248,5,Gleaming
249,5,Common
250,5,Gleaming
251,7,Modest
252,5,Gleaming
253,7,Common
254,5,Gleaming
255,5,Common
256,8,Enchanting
257,8,Common
258,5,Common
259,5,Common
259,5,Common
260,5,Gleaming
261,5,Gleaming
262,5,Gleaming
263,5,Common
264,5,Gleaming
265,5,Gleaming
266,5,Gleaming
267,5,Gleaming
268,8,Common
269,5,Modest
270,5,Common
271,8,Gleaming
272,5,Gleaming
273,8,Common
274,5,Gleaming
275,5,Common
276,7,Common
277,5,Common
278,5,Gleaming
279,6,Common
280,5,Gleaming
281,7,Common
282,5,Gleaming
283,8,Common
284,7,Common
285,8,Common
286,5,Gleaming
287,5,Common
288,7,Common
289,5,Common
290,5,Gleaming
291,5,Gleaming
292,5,Gleaming
293,5,Common
294,7,Common
295,6,Common
296,5,Common
297,7,Common
298,6,Common
299,5,Gleaming
300,5,Common
301,7,Common
302,5,Gleaming
303,5,Common
304,5,Common
305,7,Common
306,6,Common
307,6,Common
308,7,Common
309,5,Enchanting
310,6,Common
311,6,Common
312,5,Common
313,8,Common
314,7,Common
315,5,Gleaming
316,5,Gleaming
317,5,Gleaming
318,6,Common
319,6,Common
320,5,Gleaming
321,5,Common
321,5,Common
322,7,Common
323,5,Gleaming
324,8,Common
325,5,Common
326,6,Common
326,6,Common
327,5,Gleaming
328,6,Common
329,5,Common
330,5,Common
331,7,Common
332,8,Common
333,6,Common
334,6,Common
335,5,Common
336,8,Gleaming
337,4,Common
338,5,Common
339,5,Common
340,7,Common
341,4,Common
342,6,Common
343,6,Common
344,3,Modest
345,6,Common
346,7,Gleaming
347,5,Common
348,7,Common
349,5,Common
350,5,Common
351,6,Common
352,6,Common
353,4,Common
354,6,Common
355,6,Common
356,7,Common
357,5,Common
358,5,Gleaming
359,6,Common
360,5,Gleaming
361,6,Gleaming
362,5,Common
363,6,Common
364,5,Common
365,5,Common
366,6,Common
367,5,Gleaming
368,5,Common
369,7,Common
370,5,Common
371,5,Gleaming
