DI,Craftsmanship,EraConstructed
0,7,1711
1,7,1603
2,5,1054
3,5,1559
4,5,1363
5,7,1152
6,8,1672
7,7,1658
8,6,1284
9,8,1798
10,7,1173
11,7,1698
12,8,1470
13,6,1624
14,9,1784
15,7,1647
16,5,1199
17,7,1609
18,4,1338
19,5,1145
20,6,1229
21,5,1251
22,5,1090
23,10,1721
24,6,1120
25,8,1732
26,5,990
27,4,1336
28,4,1323
29,4,1103
30,5,1357
31,9,1795
32,6,1608
33,8,1574
34,6,1191
35,5,1519
36,6,1468
37,5,1131
38,5,1287
39,6,1356
40,8,1771
41,8,1797
42,5,1082
43,5,1163
44,5,1239
45,6,1051
46,7,1522
47,10,1696
48,7,1491
49,7,1706
50,4,1337
51,5,1505
52,5,1312
53,3,1047
54,5,1046
55,5,1113
56,4,1118
57,5,1306
58,8,1789
59,8,919
60,7,1012
61,7,1503
62,6,1709
63,6,1439
63,6,1439
64,5,1139
65,4,1214
66,6,1428
67,4,1068
68,7,1757
69,9,1729
70,7,1734
71,5,1383
72,8,1621
73,5,1337
74,7,1473
75,6,1369
76,7,1698
77,8,1714
78,5,1560
79,5,1498
80,9,1661
81,7,1588
82,5,1261
83,6,1510
84,7,1017
85,7,1681
86,8,1725
87,6,1697
88,6,1241
89,5,1370
90,6,1396
91,8,1400
92,8,1696
93,5,1522
94,4,1237
95,5,1388
96,9,1523
97,6,1271
98,5,1380
99,6,1447
100,8,1562
101,8,1625
102,8,1651
103,4,1394
104,8,1489
105,6,1459
106,7,1653
107,7,1693
108,7,1629
109,4,1119
110,5,1296
111,4,1307
112,5,1389
113,5,1022
114,7,1290
115,5,1456
116,7,1468
117,5,1028
118,5,1327
119,6,1527
120,6,1002
121,7,1724
122,6,1562
123,5,1380
124,5,1313
125,7,1566
126,7,1694
127,8,1493
128,5,1157
129,7,1770
130,6,1578
131,6,1325
132,4,1282
133,4,1015
134,6,1557
135,4,1526
136,6,1687
137,6,1492
138,7,1775
139,6,1691
140,10,1675
141,6,1129
142,8,1708
143,4,1382
144,6,1286
145,4,1197
146,5,1255
147,7,1791
148,5,1093
149,6,1673
150,7,1651
150,7,1651
151,6,1624
152,8,1780
152,8,1780
153,9,1785
154,8,1695
155,4,1147
156,5,1530
157,6,1319
158,6,1477
159,7,1520
160,6,1241
161,5,1221
162,5,1694
163,6,1624
164,7,1632
165,8,1602
166,6,1540
167,6,1167
168,9,1659
169,7,1762
170,8,1606
171,4,1369
172,7,1661
173,6,1153
174,6,1693
175,4,1017
176,3,1051
177,4,1023
178,4,1121
179,7,1632
180,7,1672
181,5,1205
182,3,1014
183,5,1236
184,5,1353
185,4,1123
186,9,1744
187,6,1116
188,5,1318
189,4,1589
190,7,1770
191,7,1637
192,6,1130
193,5,1488
194,6,1374
195,5,1230
196,8,1795
197,7,1271
198,6,1522
199,6,1443
200,6,1161
201,9,1696
202,9,1671
203,6,1105
204,7,1047
205,5,1408
206,8,1746
207,5,1570
208,6,1205
209,8,1580
210,7,1755
211,6,1235
212,6,1137
213,5,1350
213,5,1350
214,7,1716
215,6,1574
216,5,1587
217,4,1137
218,6,1228
219,7,1660
220,5,1477
221,8,1796
222,8,1408
223,6,1520
224,6,1095
225,5,1215
226,8,1776
227,7,1099
